,Item_Weight,Item_Type,Item_Price,Outlet_Size,Item_Sold
0,9.3,Dairy,249.8092,Medium,3735.138
1,5.92,Soft Drinks,48.2692,Medium,443.4228
2,17.5,Meat,141.618,Medium,2097.27
3,19.2,Fruits and Vegetables,182.095,,732.38
4,8.93,Household,53.8614,High,994.7052
5,10.395,Baking Goods,51.4008,Medium,556.6088
6,13.65,Snack Foods,57.6588,High,343.5528
7,,Snack Foods,107.7622,Medium,4022.7636
8,16.2,Frozen Foods,96.9726,,1076.5986
9,19.2,Frozen Foods,187.8214,,4710.535
10,11.8,Fruits and Vegetables,45.5402,Medium,1516.0266
11,18.5,Dairy,144.1102,Small,2187.153
12,15.1,Fruits and Vegetables,145.4786,Medium,1589.2646
13,17.6,Snack Foods,119.6782,Small,2145.2076
14,16.35,Fruits and Vegetables,196.4426,High,1977.4260000000002
15,9.0,Breakfast,56.3614,Small,1547.3192
16,11.8,Health and Hygiene,115.3492,Medium,1621.8888
17,9.0,Breakfast,54.3614,Medium,718.3982
18,,Hard Drinks,113.2834,Medium,2303.6679999999997
19,13.35,Dairy,230.5352,Small,2748.4224
20,18.85,Snack Foods,250.8724,High,3775.086
21,,Baking Goods,144.5444,Medium,4064.0432
22,14.6,Household,196.5084,Small,1587.2672
23,,Baking Goods,107.6938,Small,214.3876
24,13.85,Frozen Foods,165.021,Small,4078.025
25,13.0,Household,45.90600000000001,,838.908
26,7.645,Snack Foods,42.3112,Small,1065.28
27,11.65,Hard Drinks,39.1164,High,308.9312
28,5.925,Dairy,45.5086,,178.4344
29,,Canned,43.6454,Small,125.8362
30,19.25,Dairy,55.7956,,163.7868
31,18.6,Health and Hygiene,96.4436,Medium,2741.7644
32,18.7,Snack Foods,256.6672,Medium,3068.0064
33,17.85,Breads,93.1436,,2174.5028
34,17.5,Soft Drinks,174.8738,Small,2085.2856
35,10.0,Health and Hygiene,146.7102,Medium,3791.0652
36,,Fruits and Vegetables,128.0678,Medium,2797.6916
37,8.85,Soft Drinks,122.5388,Medium,1609.9044
38,,Snack Foods,36.9874,Medium,388.1614
39,,Snack Foods,87.6198,Medium,2180.495
40,13.35,Dairy,230.6352,Small,3435.528
41,9.8,Meat,126.002,High,2150.534
42,13.6,Snack Foods,192.9136,Medium,2527.3768
43,21.35,Canned,259.9278,Medium,6768.5228
44,12.15,Canned,126.5046,High,373.5138
45,6.42,Dairy,178.1002,,358.2004
46,19.6,Health and Hygiene,153.3024,,2428.8384
47,10.0,Canned,265.2226,,5815.0972
48,15.85,Baking Goods,60.622,Small,2576.646
49,,Dairy,196.8794,Small,780.3176
50,7.39,Health and Hygiene,143.8812,Small,3134.5864
51,10.195,Frozen Foods,141.5154,High,850.8924
